0
e
Ar
N2O
O
N2
Br
H2
O2
O
O
C2F5
CF3
CF2
Br
H
Al
H2
HBr
H
Ar
Ar2
ArH
Ar3
He
He
N2
N
N
SiH4
SiH3
Si2H6
CH4
CF4
CF3
O2
O2
N2O
NH3
NH3
F2
F2
F
Ne
Ne
Kr
Kr
Xe
Xe2
Xe
H2O
H2O
CO2
CO2
NH2
N4
NH4
H
CCl4
CCl3
Cl
SiH2
Cl2
Cl2
HCl
HCl
SO2
SO2
SiH3N
SiH4N
C2H4
C2H4
C2H2
C2H2
H3
SiH3
SiH2
NH
NH2
F
CF3
Cl
CCl3
Si2H5
Si2H2
F
SiH
N3
Cl
BCl3
BCl2
BCl2
BF3
BF2
BF2
CF2
SiCl4
OH
SiH3
SiCl2
SiCl2
SiCl3
BCl3
Hg
C2F6
SiF4
C2F4
C2F3
C2F5
SiCl
Cu
Cu
CO
CO
SiF3
SiF3
SiF3
Si2H6
Si2H4
Si2H4
SiH2O
NO
O3
ClO
SiO2
Al
HBr
Br
C
Ti
Ti
COF
COF2
C2F4
FO
CF3O2
CF
OH
HF
H3O
NF3
NF2
NF
NF3
NF2
NF
Hg
CHF3
CHF2
CHF
CHF2
O3
C4F8
Si
Si
C
C3F5
C3F5
C3F7
C3F7
C3F6
C3F6
C4F7
C4F7
C4F8
COF2
CF
C2F3
C4F8
CN
Ne2
BF
BF
B
B
NH
CH2
C2H5
C2H6
CHF
CH
NO
NO
Br2
N2H
HO2NO2
NO3
N2O3
N2O4
N2O5
HNO
O4
HO2
NO2
N2O
NO2
N2H
HONO
N2O2
NO3
Br2
HONO2
H2O2
O4
HNO
M
N2H2
N2H3
N2H4
SF
SF4
SF5
SF6
SF4
SF2
SF2
SF3
SF3
SF5
SF
SF6
SF5
SO2F2
SOF
SOF2
SOF3
SOF4
CH2F2
SF3
S
S
CH3F
CH2F
CH
HF
SiH
SiH
SiH4
SiH2
CCl2
Ar2
SiH3O
SiO
SiO2
SiO
SiHO
Si2H5
Si3H8
Si4H10
hv
NH2
CH2
CH3
CH4
CH5
C2
C2H
C2H3
CH3
CH2
C2H6
C3H8
C2
C4H10
C2H3
C2H
C2H5
C4H
C4H
C6H
C6H
C8H
C8H
C4H2
C8H2
C4H3
C6H2
C6H4
C8H6
C10H6
C8H4
C6H2
C4H2
C8H2
C10H2
C12H2
C10H
C4H3
C6H3
C12H
C12H6
HCN
HCN
H2CN
I
I
CF2I
CF3I
CF3I
CCl2
CCl
CCl32
CCl22
C3H3
C3H4
C3H
C3H6
C3H7
C3H
C2H2
C3H32
C3H7
C3H3
C3H5
C3H52
C3H5
C3
C3H4
C3H2
C2H22
C2H52
C3
C3H8
C3H22
C3H42
C3H2
C3H6
C3H4
BCl
Si5H12
Si6H14
Si7H16
Si8H18
Si9H20
Si3H7
Si4H9
Si5H11
Si6H13
Si7H15
Si8H17
ClO
CNH
COS
F2O
COS
H2S
CONH3
HCP
HCHO
PH3
SiF2
C3N
C2OH6
CS
HCP
F2O
CaF
C2OH6
PH3
C3N
H2S
CS
CNH
CONH3
CaF
NO2
HCHO
CH2
CO22
CaF2
H2O
C2H2
CH
CaF
H2
CF4
O2
N2
CO2
H2
F2
SF6
BF3
C2
C3
CF
CF2
CF4
CH4
CO
CO2
H2O
HBr
HCN
Kr
N2
N2O
NH3
NO2
O2
O3
SO2
SiF2
SiH4
SiO
C2H22
H22
SF4
F3
SF2
F4
SF6
O2
OH
C2
N2
SF6
CH4
CF3
C3F8
CF4
C3F8
CF32
CF22
CHF3
C2F6
H3
H4
He2
CO2
CH4
SiCl
NF
NF2
NF2
NF3
NF3
FNO
SiCl4
SiCl3
BCl
SiF
H13O6
HNO2
HNO3
H9O4
H4NO3
H5O2
H15O7
H2O3
HNO4
H6NO4
H11O5
H7O3
H4O2
H2NO2
SiF2
H2F
C4F6
C2F2
C2F
C3F2
C3F3
C3F4
C3F
C4F4
C4F5
C4F6
C3F4
C2F2
CH2F
CH3F
HF
CH2F2
BeH2
BeH
